step,reward_mean,cov_rew_mean,col_rew_mean,aux_rew_mean
28672,0.0225,22.8000,-1.8667,26.7291
57344,0.0220,21.4328,-3.1045,24.1578
86016,0.0864,21.9300,-3.0400,24.5172
114688,0.0209,22.8600,-3.2800,25.0489
143360,0.0983,22.9500,-3.6000,25.3371
172032,0.0230,23.7400,-3.3600,26.5895
200704,0.0117,24.7100,-3.2000,28.2887
229376,0.0192,25.0300,-2.8800,30.1918
258048,0.0215,25.3000,-3.2800,30.2208
286720,0.0185,24.3500,-4.0000,28.1535
315392,0.0220,23.9100,-4.0000,27.9088
344064,0.0254,25.3300,-3.5200,29.5795
372736,0.0216,24.4400,-3.8400,29.0471
401408,0.0200,25.8900,-3.9200,30.0581
430080,0.0201,26.0900,-3.5200,30.1863
458752,0.0209,26.7100,-3.2000,31.3322
487424,0.0173,27.0400,-3.2800,32.5798
516096,0.0866,27.0100,-3.6800,33.5165
544768,0.1595,25.6500,-4.4800,31.8799
573440,0.0169,25.8400,-4.1600,32.3128
602112,0.0201,27.4400,-3.4400,34.1464
630784,0.0901,27.9900,-2.8800,36.7085
659456,0.0895,26.8400,-3.4400,34.8572
688128,0.0205,26.8100,-3.6000,34.9939
716800,0.0229,25.3800,-4.3200,33.1574
745472,0.0173,26.2900,-4.4800,33.6498
774144,0.0226,27.1000,-4.4000,33.9600
802816,0.0133,25.9700,-4.8000,32.6316
831488,0.0223,25.0200,-4.8800,32.4508
860160,0.0182,27.4000,-4.2400,35.7024
888832,0.0216,27.7200,-4.0000,35.5738
917504,0.0189,26.8300,-3.7600,35.2032
946176,0.0174,26.8500,-3.8400,34.7115
974848,0.0806,25.3900,-4.4800,32.2044
1003520,0.0156,26.0400,-4.5600,32.4708
1032192,0.0161,27.4300,-4.0000,34.6752
1060864,0.0218,26.8200,-4.5600,34.4552
1089536,0.0198,24.4900,-4.8800,31.6864
1118208,0.0148,26.4400,-4.2400,33.2984
1146880,0.0216,27.7300,-3.6000,35.8922
1175552,0.0833,28.6800,-3.5200,36.7269
1204224,0.0800,27.1500,-3.9200,35.4956
1232896,0.0215,25.8400,-4.8000,32.5011
1261568,0.0184,26.2600,-4.6400,32.1279
1290240,0.0183,26.6400,-4.4800,33.1576
1318912,0.0180,24.9700,-4.5600,31.9219
1347584,0.0187,26.0100,-4.1600,33.8563
1376256,0.0182,27.9300,-4.0800,35.4587
1404928,0.0212,28.0800,-4.3200,35.8732
1433600,0.0212,28.1700,-4.8000,35.6254
1462272,0.0209,29.4600,-4.5600,35.9880
1490944,0.0814,28.9700,-4.2400,35.7677
1519616,0.0207,28.0200,-4.3200,35.7914
1548288,0.0211,27.0100,-4.8000,34.3487
1576960,0.1412,27.1400,-4.4000,34.8783
1605632,0.0210,25.3300,-4.3200,33.2077
1634304,0.0210,27.0000,-4.0800,34.5142
1662976,0.0174,26.3400,-4.7200,33.3514
1691648,0.0209,26.8100,-4.8000,33.8551
1720320,0.0783,26.5100,-4.6400,33.6020
1748992,0.0165,28.0800,-4.3200,35.2330
1777664,0.0779,28.0600,-4.0000,34.5450
1806336,0.0208,26.6200,-4.2400,34.2111
1835008,0.0208,26.1000,-4.0000,34.9972
1863680,0.0787,26.6500,-4.1600,35.5649
1892352,0.0185,27.3900,-4.4000,34.4715
1921024,0.0799,29.9200,-4.0800,35.6118
1949696,0.0190,30.2600,-3.8400,35.7702
1978368,0.0202,29.9500,-3.6800,36.3317
2007040,0.0198,30.5600,-3.4400,37.6053
2035712,0.0206,28.6600,-4.1600,36.1503
2064384,0.0177,27.8500,-4.5600,35.3846
2093056,0.0177,25.9800,-4.8800,33.7763
2121728,0.0188,25.4000,-4.8000,32.0569
2150400,0.0203,27.0700,-4.7200,33.0750
2179072,0.0165,27.6800,-4.5600,32.8509
2207744,0.0763,29.4300,-4.0800,34.6900
2236416,0.0186,29.2200,-4.1600,34.6293
2265088,0.0205,29.6300,-4.0000,36.6848
2293760,0.0774,31.1400,-3.9200,37.7712
2322432,0.0205,30.0000,-4.0000,37.0459
2351104,0.0157,30.2300,-4.1600,37.3851
2379776,0.0205,28.5300,-4.6400,34.7621
2408448,0.0182,27.6300,-4.9600,33.9707
2437120,0.0205,27.2500,-4.7200,35.4729
2465792,0.0204,26.6300,-4.7200,34.9871
2494464,0.0204,28.1800,-4.1600,35.5206
2523136,0.0198,28.9200,-3.9200,34.2752
2551808,0.0767,29.6000,-3.9200,34.4886
2580480,0.0199,30.4100,-3.9200,35.5116
2609152,0.0196,30.3200,-3.4400,36.5724
2637824,0.0125,29.0700,-3.4400,36.0189
2666496,0.0203,26.3700,-3.9200,34.2607
2695168,0.0203,26.5600,-4.4000,33.3245
2723840,0.0203,27.1400,-4.7200,32.1801
2752512,0.0203,28.8900,-4.4000,33.2323
2781184,0.0751,29.1000,-4.0800,34.4913
2809856,0.0168,28.8900,-4.3200,34.5228
2838528,0.0171,28.9200,-4.3200,33.7239
2867200,0.0761,27.7400,-4.1600,32.9541
2895872,0.0178,29.7800,-3.8400,34.7451
