step,reward_mean_norm,reward_mean_raw,cov_rew_mean,col_rew_mean,aux_rew_mean,ep_len_mean,cov_per_step_mean,aux_per_step_mean
897024,0.0133,0.7187,350.0530,-7.7600,126.3426,669.11,5.9319,0.1790
909312,0.0141,0.7624,352.7720,-7.7600,127.3569,671.01,7.5743,0.1787
921600,0.0098,0.5330,354.1360,-7.6800,131.6954,691.05,5.7349,0.1821
933888,0.0136,0.7397,349.3410,-7.6800,126.0939,657.80,7.0872,0.1812
946176,0.0115,0.6217,350.0400,-7.7600,123.3749,654.60,7.1272,0.1791
958464,0.0121,0.6563,348.5520,-7.7600,123.9563,657.43,7.1444,0.1787
970752,0.0084,0.4546,357.0650,-7.7600,133.1185,715.45,2.1056,0.1822
983040,0.0112,0.6081,354.5990,-7.7600,134.1719,730.59,2.0792,0.1792
995328,0.0119,0.6478,348.4530,-7.9200,124.8402,692.82,2.1289,0.1747
1007616,0.0123,0.6674,356.8340,-7.8400,129.4019,726.46,0.8372,0.1731
1019904,0.0123,0.6696,353.9830,-7.8400,129.5320,724.43,2.7449,0.1717
1032192,0.0115,0.6249,358.3390,-7.6800,133.4437,743.57,2.6943,0.1719
1044480,0.0117,0.6342,364.5220,-7.5200,133.7646,736.79,2.7487,0.1730
1056768,0.0115,0.6215,366.1049,-7.5200,133.8990,736.81,4.1463,0.1716
1069056,0.0143,0.7733,366.6169,-7.4400,134.1290,727.49,7.0426,0.1721
1081344,0.0120,0.6516,363.3950,-7.4400,132.9876,713.40,7.0812,0.1745
1093632,0.0109,0.5922,362.7010,-7.4400,133.3226,709.50,5.1878,0.1761
1105920,0.0111,0.6036,365.3860,-7.4400,134.1248,716.91,5.1905,0.1762
1118208,0.0123,0.6673,361.9250,-7.3600,134.1693,711.59,6.6440,0.1748
1130496,0.0126,0.6839,357.5569,-7.3600,131.8307,697.71,5.2780,0.1766
1142784,0.0121,0.6563,362.3970,-7.2800,138.5664,734.14,3.7417,0.1784
1155072,0.0107,0.5804,370.4260,-7.2800,148.9408,784.35,3.6428,0.1798
1167360,0.0132,0.7129,366.7980,-7.2000,140.6611,742.76,6.9405,0.1764
1179648,0.0110,0.5959,366.5890,-7.2800,143.7707,755.20,6.9177,0.1774
1191936,0.0122,0.6620,365.1450,-7.4400,141.7036,745.57,5.5196,0.1793
