step,reward_mean,cov_rew_mean,col_rew_mean,aux_rew_mean
28672,0.0677,31.5000,-2.9412,43.3677
57344,0.0220,31.8933,-2.6667,44.3054
86016,0.0650,33.1400,-2.6000,47.4352
114688,0.0212,32.5300,-2.6500,49.0020
143360,0.0206,32.1900,-3.0000,49.2657
172032,0.0241,33.5100,-3.1000,49.1683
200704,0.0116,32.2200,-3.2000,49.7424
229376,0.0194,31.7300,-3.3500,50.2911
258048,0.0268,34.9500,-3.3500,55.4503
286720,0.0568,34.5600,-3.4000,55.4015
315392,0.0603,35.0600,-3.3500,54.3461
344064,0.0227,34.7800,-3.3000,54.2956
372736,0.0194,31.7400,-3.5000,51.5833
401408,0.0190,34.7400,-3.5000,55.5389
430080,0.0200,33.9300,-3.7500,54.6167
458752,0.0580,30.5300,-3.9000,54.6589
487424,0.0245,28.5900,-4.0000,51.5089
516096,0.0208,31.2700,-3.7500,51.1528
544768,0.0187,35.8200,-3.5000,57.6938
573440,0.0142,36.0500,-3.8500,57.4435
602112,0.0538,36.7900,-3.7500,58.9443
630784,0.0237,34.3300,-3.6000,54.2902
659456,0.0181,30.8200,-3.8500,49.9173
688128,0.0154,29.6900,-4.2000,49.9277
716800,0.0234,30.8200,-3.9500,53.1509
745472,0.0200,30.8200,-4.0500,52.7325
774144,0.0232,31.7300,-4.1500,52.2137
802816,0.0497,33.0300,-4.0000,54.8142
831488,0.0231,33.4000,-4.1000,55.5210
860160,0.0197,32.2900,-4.2500,54.8935
888832,0.0219,33.8800,-3.9000,58.0034
917504,0.0557,34.0300,-3.5000,61.1730
946176,0.0824,33.3300,-3.5500,58.5203
974848,0.0521,32.3900,-3.6500,55.6313
1003520,0.0497,32.4700,-3.8000,52.8946
1032192,0.0858,29.9400,-3.6500,50.9760
1060864,0.0202,29.5300,-3.5500,52.4306
1089536,0.0542,32.1900,-3.6500,54.1281
1118208,0.0226,29.9400,-3.6500,51.7484
1146880,0.0206,28.5800,-3.4000,54.6544
1175552,0.0546,29.6900,-3.7000,53.7022
1204224,0.0193,27.0100,-4.1500,46.1953
1232896,0.0204,27.1400,-3.9000,49.8074
1261568,0.0224,29.6700,-3.9000,50.7215
1290240,0.0162,32.9400,-3.8000,56.0858
1318912,0.0543,33.7200,-3.4500,60.0353
1347584,0.0220,33.9500,-3.4500,57.8644
1376256,0.0191,31.8100,-3.4500,56.8154
1404928,0.0217,27.9500,-3.5000,52.4588
1433600,0.0213,31.1000,-3.4500,55.0329
1462272,0.0207,33.5600,-3.4000,58.7380
1490944,0.0509,34.3400,-3.3000,59.8405
1519616,0.0845,37.6900,-3.0500,61.8429
1548288,0.0207,38.8500,-3.2500,61.9208
1576960,0.0222,37.0100,-3.5500,59.6037
1605632,0.0507,32.1500,-3.4000,58.9641
1634304,0.0202,30.7100,-3.5500,57.1868
1662976,0.0220,32.7700,-3.5000,57.6605
1691648,0.0537,36.9500,-3.5000,60.1933
1720320,0.0536,38.9200,-3.5000,61.4762
1748992,0.0189,35.5100,-3.4000,58.8830
1777664,0.4250,34.6600,-3.8500,56.1277
1806336,0.0216,36.3200,-3.9000,56.7204
1835008,0.0220,37.8900,-3.1500,63.8382
1863680,0.0192,37.1700,-3.0000,64.7168
1892352,0.0149,32.5200,-3.2500,59.5098
1921024,0.0200,31.1800,-3.2000,56.5959
1949696,0.0492,36.2400,-3.1500,61.1876
1978368,0.0188,39.0800,-3.0000,66.1026
2007040,0.0188,38.1400,-3.2500,62.8690
2035712,0.0189,34.1900,-3.3500,58.8153
2064384,0.0219,34.9100,-3.6000,57.6578
2093056,0.0219,36.5500,-3.5000,61.0166
2121728,0.0219,32.6300,-3.4500,59.1164
2150400,0.0219,36.1100,-3.2500,63.0512
2179072,0.0219,38.3200,-3.2000,61.8161
2207744,0.0188,40.1100,-3.3500,62.9473
2236416,0.0125,37.5100,-3.4500,62.2294
2265088,0.0528,33.4000,-3.5500,57.5884
2293760,0.0210,34.4700,-3.3000,58.0872
2322432,0.0209,35.5000,-3.3500,56.8931
2351104,0.0530,37.9000,-3.1500,60.1740
2379776,0.0202,36.3800,-3.1500,62.0100
2408448,0.0512,35.8600,-3.1000,64.9082
2437120,0.0190,35.2200,-3.2500,62.9375
2465792,0.0841,35.8500,-3.1500,62.9221
2494464,0.0218,34.4400,-3.1500,60.5969
2523136,0.0215,36.4300,-2.9000,61.8512
2551808,0.0214,38.4000,-2.6000,65.5616
2580480,0.0218,40.5400,-2.7500,66.0879
2609152,0.0218,38.4200,-2.9500,63.9792
2637824,0.0218,38.4300,-2.6500,65.2393
2666496,0.0218,40.0800,-2.6000,67.6502
2695168,0.0463,40.1900,-2.5500,69.0505
2723840,0.0201,40.7500,-2.5000,70.4895
2752512,0.0167,39.1000,-2.3000,71.6862
2781184,0.0199,38.4200,-2.4000,71.6196
2809856,0.0218,39.0100,-2.6000,71.4204
2838528,0.0507,42.0800,-2.7000,70.8438
2867200,0.0203,38.7600,-2.7000,67.5052
2895872,0.0187,39.7100,-2.5500,70.8181
2924544,0.0168,38.7900,-2.6000,68.4983
2953216,0.0218,39.3900,-2.8000,66.7405
2981888,0.0460,41.2800,-2.8500,70.7054
3010560,0.0528,42.4300,-2.8500,70.2816
3039232,0.0217,40.9300,-2.5500,69.1593
3067904,0.0528,40.6700,-2.3000,71.7062
3096576,0.0528,35.9700,-2.7500,65.7371
3125248,0.0528,37.0100,-2.5000,67.9572
3153920,0.0217,38.5200,-2.6500,69.8302
3182592,0.0217,41.4700,-2.4500,72.8577
3211264,0.0217,42.1600,-2.4000,73.1085
3239936,0.0528,42.7900,-2.6000,69.3924
3268608,0.0217,39.7300,-2.8500,66.2933
3297280,0.0217,36.6000,-2.8000,66.2405
3325952,0.0519,38.3200,-2.4500,72.1800
3354624,0.0521,40.9900,-2.4000,73.7488
3383296,0.0528,40.0000,-2.5500,69.6747
3411968,0.0211,41.5400,-2.4000,69.1187
3440640,0.0217,41.7600,-2.3500,69.2952
3469312,0.0217,40.5400,-2.3500,70.3670
3497984,0.0516,38.4100,-2.5500,68.4753
3526656,0.0528,40.9700,-2.4000,72.9240
3555328,0.0217,43.5000,-2.2500,73.5452
3584000,0.0519,44.0000,-2.3500,72.3810
3612672,0.0521,44.0400,-2.1000,75.4258
3641344,0.0521,43.5700,-2.4500,72.5919
3670016,0.0494,40.7200,-2.6000,66.6598
3698688,0.0217,39.2700,-2.5500,67.6873
3727360,0.0211,43.8100,-2.2500,72.9782
3756032,0.0217,42.3800,-2.4500,71.4227
3784704,0.0820,41.2900,-2.4000,70.9527
3813376,0.0217,37.8100,-2.6000,66.0547
3842048,0.0514,38.9800,-2.7000,64.9641
3870720,0.0204,43.0500,-2.3500,70.4230
3899392,0.0526,43.1300,-2.1500,72.8594
3928064,0.0474,44.6100,-2.0500,72.5128
3956736,0.0526,44.0900,-2.4500,70.3128
3985408,0.0196,47.2600,-2.0500,75.4712
4014080,0.0217,47.2300,-1.9000,78.5996
4042752,0.0216,47.6500,-1.7000,81.2172
4071424,0.0507,43.4700,-1.8000,78.4692
4100096,0.0186,39.2000,-2.1000,70.9862
4128768,0.0213,39.3200,-2.0500,69.6987
4157440,0.0196,37.3800,-2.0500,69.6204
4186112,0.0216,36.9300,-2.4000,67.2577
4214784,0.0213,38.7800,-2.6000,66.8099
4243456,0.0208,43.0000,-2.3000,71.9514
4272128,0.0184,49.0400,-2.0500,78.0923
4300800,0.0215,49.7300,-1.6500,82.2870
4329472,0.0487,45.9600,-1.8000,80.7364
4358144,0.0505,42.3400,-1.8000,79.2833
4386816,0.0216,43.2300,-1.9500,78.4532
4415488,0.0171,44.0300,-1.9500,76.5102
4444160,0.0216,42.3800,-1.9500,73.1695
4472832,0.0834,44.1900,-1.9500,76.8396
4501504,0.0182,44.3300,-2.0500,76.5672
4530176,0.0177,41.7800,-2.3500,74.3963
4558848,0.0525,43.1200,-2.0000,75.5927
4587520,0.0507,41.7500,-2.0000,75.7407
4616192,0.0199,40.7600,-1.9000,74.4054
4644864,0.0216,39.3900,-2.1000,72.4940
4673536,0.0206,42.7400,-1.9500,73.5492
4702208,0.0216,44.0600,-1.9000,74.5787
4730880,0.0525,45.7300,-1.8000,73.4129
4759552,0.0525,45.4700,-1.8500,74.9807
4788224,0.0216,47.6300,-1.9500,77.5353
4816896,0.0525,46.8800,-1.9500,77.3681
4845568,0.0216,47.1900,-1.5000,79.0320
4874240,0.0525,45.8200,-1.5000,76.5527
4902912,0.0199,42.6900,-1.6000,78.0428
4931584,0.0216,43.1000,-1.9000,78.9567
4960256,0.0216,42.5100,-1.9500,78.4467
4988928,0.0216,43.2900,-1.9500,77.0144
5017600,0.0208,41.4900,-2.3000,72.6304
5046272,0.0203,42.8200,-2.0500,74.9815
5074944,0.0216,41.5100,-1.9500,72.6200
5103616,0.0512,40.4100,-1.8500,72.1735
5132288,0.0209,40.1500,-1.7000,74.1924
5160960,0.0835,43.5000,-1.7000,77.1825
5189632,0.0216,42.0100,-1.8500,75.4976
