Episode,Return,Coverage,Steps
1,161.7849270936337,13.8125,400
2,561.5639320225013,30.03125,400
3,576.1768943743843,31.906250000000004,400
4,578.4715728752551,33.984375,400
5,224.900000000001,11.6875,400
6,973.4416730868054,52.390625,400
7,489.5688711258518,26.0,400
8,875.9792027106054,47.53125,400
9,889.1021849295086,47.203125,400
10,938.5778640450012,52.0,400
11,1179.7566133775526,60.71875,400
12,1312.2019609728143,67.125,400
13,697.0444487245371,35.3125,400
14,1329.1853068170376,67.796875,400
15,1053.3417960675017,55.453125,400
16,666.7000000000016,35.0,400
17,1423.3913786156888,73.34375,400
18,1232.7492647456343,62.953125,400
19,1198.4148351928661,60.703125,400
20,851.3223074309326,43.0625,400
21,722.5958980337514,37.53125,400
22,1512.3341439002704,77.546875,400
23,1412.2910894683628,71.921875,400
24,1165.6688711258516,58.875,400
25,1205.1009804864093,62.125,400
26,1555.3647186257608,79.3125,400
27,1649.9375078027506,84.40625,400
28,1515.6321655761903,79.53125,400
29,1474.7644660940684,77.21875,400
30,1196.14751341273,61.265625,400
31,1173.8488373664816,61.3125,400
32,1760.5785373466724,90.484375,400
33,1535.6574175964342,78.03125,400
34,1784.8944884271157,92.1875,400
35,1766.4213313458454,91.953125,400
36,1617.2791679679387,84.84375,400
37,1622.9417960675007,82.859375,400
38,1648.1099450553604,86.15625,400
39,1748.2768943743836,90.28125,400
40,1781.05,91.171875,400
41,1733.4105672353412,89.828125,400
42,1582.049532720484,82.609375,400
43,1779.4434443842663,91.328125,400
44,1717.2754446796632,87.71875,400
45,1758.206613377552,90.484375,400
46,1707.9999999999986,88.171875,400
47,1760.4917560805272,90.109375,400
48,1095.7336270247913,56.09375,400
49,1728.7902277713556,88.875,400
50,1720.018472692881,87.984375,400
51,1773.7333518108146,90.703125,400
52,1372.1958980337527,69.78125,400
53,1732.5535721577326,88.734375,400
54,1646.6336270247893,84.265625,400
55,1404.2933960420862,72.21875,400
56,1554.8988373664788,79.265625,400
57,1428.5000000000014,72.625,400
58,1657.8333518108145,84.71875,400
59,1650.9472243622688,85.703125,400
60,1745.1215728752552,89.140625,400
61,1740.8025864952565,89.421875,400
62,1792.607359312881,91.765625,400
63,1762.125444679665,90.140625,400
64,1752.1176198257333,90.09375,400
65,1718.9722527892998,88.109375,400
66,1744.685805861408,89.265625,400
67,1734.250980486408,88.515625,400
68,1703.2,87.515625,400
69,1786.3474862100334,92.046875,400
70,1705.2025864952564,88.953125,400
71,1823.77506218944,93.359375,400
72,1511.721572875253,76.8125,400
73,1310.2268943743825,66.90625,400
74,1725.2137476716994,88.671875,400
75,1666.6757716343438,85.78125,400
76,1770.9648351928665,91.03125,400
77,1297.976894374383,66.421875,400
78,1500.3888974490733,76.59375,400
79,1723.8037780052748,88.171875,400
80,1744.2255952515932,89.703125,400
81,1791.2343902290597,92.765625,400
82,1744.8963759529265,89.546875,400
83,1637.387722339831,85.234375,400
84,1601.1648351928666,81.515625,400
85,1726.0922359359558,90.203125,400
86,1708.3188711258526,87.171875,400
87,1706.4500000000025,88.140625,400
88,1693.9897503240963,88.953125,400
89,1762.8336270247905,91.09375,400
90,1585.1968757625655,80.859375,400
91,1651.7868512047796,84.75,400
92,1656.353788748765,84.703125,400
93,1753.1307975947964,89.828125,400
94,1658.5330094339704,85.125,400
95,1754.7234546913298,90.390625,400
96,1805.3722436226792,93.0,400
97,1760.5807975947982,90.09375,400
98,1654.9786796564415,84.546875,400
99,1893.7291679679379,97.15625,400
100,1076.3688711258533,56.21874999999999,400
101,1676.6592291538675,86.546875,400
102,1562.6377422517019,80.578125,400
103,1858.075571099102,94.9375,400
104,1745.0798467455454,89.234375,400
105,1712.9086187348523,88.1875,400
106,1640.4500000000003,83.890625,400
107,1764.1779981273428,90.84375,400
108,1618.7172374697034,82.53125,400
109,1747.1692450142536,92.234375,400
110,1519.8098300562517,78.171875,400
111,1696.7976500446414,86.84375,400
112,1584.6886422272296,82.703125,400
113,1554.5984378812864,80.859375,400
114,1791.899462381131,91.6875,400
115,1842.8431457505087,94.671875,400
116,1775.3678754017162,91.0,400
117,1236.1688711258523,63.81250000000001,400
118,1787.4706136340753,91.96875,400
119,1731.5574175964332,90.03125,400
120,1721.064835192866,87.9375,400
121,1720.8500000000013,88.59375,400
122,1702.3623465961532,88.859375,400
123,1539.3598300562517,79.015625,400
124,1691.615341561573,86.453125,400
125,985.3476747329586,50.31250000000001,400
