Episode,Return,Coverage,Steps
1,579.6286796564425,35.5625,400
2,476.1268943743846,32.421875,400
3,245.25741759643373,21.703125,400
4,344.1484378812849,23.15625,400
5,304.7902277713547,21.40625,400
6,784.594448724537,43.53125,400
7,416.7345240525783,26.640625,400
8,464.5644660940687,25.296875000000004,400
9,618.8877223398331,34.875,400
10,526.326894374384,29.921874999999996,400
11,957.3500000000008,50.18749999999999,400
12,762.3944487245376,40.59375,400
13,676.6779981273424,37.46875,400
14,927.5319660112519,51.78125,400
15,732.371572875256,41.8125,400
16,392.9504902432045,25.4375,400
17,887.1958980337522,47.734375,400
18,112.58452405257836,11.640625,400
19,973.9789321881359,51.109375,400
20,1065.6500000000017,56.28125000000001,400
21,1112.9981983444143,60.35937500000001,400
22,1210.942113447068,63.78125,400
23,1343.8669656263407,69.40625,400
24,1382.4,71.125,400
25,1490.9660188679456,76.328125,400
26,1325.9984378812853,67.875,400
27,1612.5268943743833,84.046875,400
28,1376.118871125851,70.96875,400
29,1350.988642227227,70.578125,400
30,1491.478932188136,77.015625,400
31,1537.2376941012517,79.671875,400
32,1555.663932022501,82.140625,400
33,1377.0688711258524,72.46875,400
34,1448.2984378812844,75.875,400
35,1421.8845240525754,73.40625,400
36,1760.596730408871,91.015625,400
37,1693.9993902665706,86.703125,400
38,1695.4899774266653,87.375,400
39,1175.0948751620474,62.78125,400
40,1626.714544723209,86.0625,400
41,1315.7377223398316,69.046875,400
42,1836.856583509748,94.015625,400
43,1594.143396042085,84.921875,400
44,1607.1252833793594,82.8125,400
45,1670.6254446796634,85.78125,400
46,1683.7218296162378,88.25,400
47,1326.3000000000009,67.15625,400
48,1592.7558528859724,82.953125,400
49,1607.3065835097477,82.265625,400
50,1495.967237469703,76.25,400
51,1633.54765004464,84.4375,400
52,1763.6000000000022,90.140625,400
53,1577.7377422517034,81.65625,400
54,1495.4144660940703,76.0625,400
55,1389.8804555427064,71.953125,400
56,1382.9850179569305,70.46875,400
57,1643.5410894683632,84.171875,400
58,1748.28732959645,90.015625,400
59,1686.2402277713568,86.78125,400
60,1794.5353068170396,91.9375,400
61,1719.22543103961,88.65625,400
62,1593.8286796564425,81.1875,400
63,1686.3001243788794,89.765625,400
64,1745.5877223398313,89.9375,400
65,1776.450252531694,91.15625,400
66,1734.669660112501,88.96875,400
67,1757.584226894136,90.15625,400
68,1503.8298467455454,76.65625,400
69,1659.3999999999996,85.03125,400
70,1471.1144660940677,74.875,400
71,1735.3278640450012,88.625,400
72,1695.8000000000006,90.140625,400
73,1706.3000000000009,87.671875,400
74,1645.6000000000015,85.25,400
75,1652.3066133775524,84.921875,400
76,1763.6500000000005,90.921875,400
77,1721.6504902432052,89.5625,400
78,1798.149725276799,92.5625,400
79,1719.6755710991029,88.953125,400
80,1751.5951952089047,90.34375,400
81,1757.550000000001,91.1875,400
82,1783.2426486483068,91.671875,400
83,1765.1499999999987,90.265625,400
84,1692.2000000000005,88.203125,400
85,1751.332307969165,90.453125,400
86,1742.7422059340727,89.71875,400
87,1769.1976500446422,91.34375,400
88,1779.2939707626092,91.734375,400
89,1702.5360850461936,88.28125,400
90,1710.634471871913,88.234375,400
91,1635.884927093634,83.4375,400
92,1679.869872159672,87.171875,400
93,1687.8907439138934,86.546875,400
94,1830.0377422517017,94.4375,400
95,1643.6437515251366,84.421875,400
96,1778.9910894683626,91.78125,400
97,1726.5995327204853,90.84375,400
98,1792.6877422517016,92.953125,400
99,1650.2698901107206,84.640625,400
100,1591.5223074309308,82.515625,400
101,1768.489780221439,91.875,400
102,1720.6557280900026,88.09375,400
103,1627.059945055362,83.21875,400
104,1623.2792027106038,83.71875,400
105,1721.0722436226815,89.296875,400
106,1598.2694858273244,84.984375,400
107,1872.100980486407,95.828125,400
108,1747.0514707296118,89.640625,400
109,1609.848529491264,83.671875,400
110,1672.4879126518713,85.6875,400
111,1688.5879126518716,86.515625,400
112,1466.9384471871924,77.109375,400
113,1680.322992686351,87.328125,400
114,1739.8630136293195,89.328125,400
115,1689.3750621894403,88.484375,400
116,1682.1996815318932,87.375,400
117,1619.236473044306,87.65625,400
118,1558.1139320224986,79.453125,400
119,1547.9675884698831,80.5625,400
120,1498.4004902432068,78.125,400
121,1657.876756749972,88.390625,400
122,1665.0001243788797,85.375,400
123,1705.7475134127285,89.453125,400
124,1651.9936508138985,85.078125,400
125,1562.478932188135,81.0,400
126,1612.1144660940683,82.875,400
127,1538.3475134127282,78.6875,400
128,1635.6130136293193,86.046875,400
129,1640.2112208367862,84.015625,400
130,1615.772620262887,83.484375,400
131,1690.3215003919115,87.125,400
132,1632.7367920841718,84.328125,400
133,1672.2615951895962,86.640625,400
134,1687.7806890004088,87.046875,400
135,1689.790227771356,86.40625,400
136,1747.6401977414923,90.875,400
137,1785.8688711258503,91.40625,400
138,1620.6000000000022,84.40625,400
139,1695.6509804864063,86.71875,400
140,1762.5222436226795,90.78125,400
141,1629.8857864376296,83.71875,400
142,1567.3972243622688,82.421875,400
143,1775.2357508034274,91.515625,400
144,1708.9298351660789,87.765625,400
145,1763.329846745546,90.53125,400
146,1705.240227771355,88.0,400
147,1770.1021849295057,90.5625,400
148,1736.5762599453567,89.53125,400
149,1743.8943058495774,89.796875,400
150,1537.114466094068,78.734375,400
151,1685.9172374697016,86.53125,400
152,1689.661595189595,86.75,400
153,1732.1171597225614,89.015625,400
154,1591.9584770132028,81.9375,400
155,1740.4323079691665,89.0625,400
156,1740.300490243204,88.734375,400
157,1708.0434221912528,89.21875,400
158,1723.8057280900007,88.3125,400
159,1672.5421134470705,85.21875,400
160,1660.9768943743825,84.921875,400
161,1789.1688711258505,92.703125,400
162,1771.9729926863506,91.59375,400
163,1750.1639320225026,91.59375,400
164,1747.8024512160177,89.6875,400
165,1718.6438288798693,88.578125,400
166,1726.2895878505365,88.640625,400
167,1707.0286796564408,91.75,400
168,1755.9430936742538,90.265625,400
169,1694.1177754329938,89.28125,400
170,1694.8943058495795,87.96875,400
171,1605.7907439138976,90.265625,400
172,1712.7833518108146,88.984375,400
173,1665.115341561574,86.125,400
174,1763.47224362268,90.71875,400
175,1592.6921134470688,84.796875,400
176,1712.2488373664798,89.265625,400
177,1709.5991228745067,90.921875,400
178,1751.372506769255,90.96875,400
179,1718.6521849295077,89.234375,400
180,1669.4902277713559,86.765625,400
181,1658.5850179569327,89.671875,400
182,1746.6841439002712,90.859375,400
183,1582.0830094339726,86.25,400
184,1724.4358058614105,89.65625,400
185,1688.7000000000012,89.46875,400
186,1725.464835192867,90.265625,400
187,1707.0879126518705,88.875,400
188,1700.2476500446426,89.84375,400
189,1713.637694101252,87.875,400
190,1648.5711794039016,87.46875,400
191,1638.709693491092,86.140625,400
192,1707.882165576191,87.84375,400
193,1708.550910964772,88.78125,400
194,1748.5445588301477,90.546875,400
195,1639.975771634344,85.953125,400
196,1737.2422359359582,90.828125,400
197,1652.114331152384,86.203125,400
198,1639.8546389828123,86.234375,400
199,1755.8844057865074,90.453125,400
200,1719.8873234983696,89.34375,400
201,1721.9206833140622,88.640625,400
202,1649.5646509595665,85.984375,400
203,1566.937287789488,83.359375,400
204,1644.2407439138972,84.8125,400
205,1742.5773824700718,89.40625,400
206,1600.7755710991041,85.265625,400
207,1751.5678754017167,89.9375,400
208,1626.3933960420868,84.390625,400
209,1759.227864045,92.9375,400
210,1661.7306831231485,87.515625,400
211,1640.9660188679443,85.34375,400
212,1629.9842268941375,84.40625,400
213,1634.575856204554,85.453125,400
214,1588.801470729613,87.15625,400
215,1708.7599450553598,88.90625,400
216,1693.4921894064182,87.28125,400
217,1713.7333461736082,88.875,400
218,1712.1448751620462,89.390625,400
219,1729.9066133775545,90.328125,400
220,1584.6395878505368,87.59375,400
221,1708.1996212175563,89.1875,400
222,1705.9092291538664,87.921875,400
