Episode,Return,Coverage,Steps
1,833.833592135002,42.296875,400
2,1289.4723074309325,67.265625,400
3,681.8984378812852,36.828125,400
4,752.5521849295078,39.46875,400
5,785.2065835097476,40.984375,400
6,698.956583509749,38.5,400
7,446.3639320225013,25.96875,400
8,1253.3000000000009,65.578125,400
9,1616.8688611699158,84.109375,400
10,448.9286796564411,26.828125000000004,400
11,708.3000000000028,39.6875,400
12,1654.690227771355,85.859375,400
13,1703.8014707296113,87.484375,400
14,1804.465341561575,92.640625,400
15,1684.0000000000002,88.296875,400
16,1389.8653415615745,74.203125,400
17,1714.3361218113405,88.84375,400
18,1731.01878045812,90.8125,400
19,1653.0391355667796,87.90625,400
20,1726.483627024789,90.03125,400
21,1715.6178754017146,87.8125,400
22,1240.468871125853,65.90625,400
23,1738.33750780275,89.984375,400
24,1743.4320281894104,89.796875,400
25,1721.4065547885218,89.453125,400
26,1675.293145750507,85.75,400
27,1638.194875162048,85.125,400
28,1757.0698721596734,90.40625,400
29,1719.8566133775519,89.3125,400
30,1613.0000000000002,83.0625,400
31,1481.019890110722,79.234375,400
32,1676.3958980337522,87.828125,400
33,1768.134524052578,91.78125,400
34,1758.4902277713545,90.71875,400
35,1762.043664798223,90.828125,400
36,1535.0798467455456,80.578125,400
37,1730.22916796794,90.1875,400
38,1615.4139320225024,83.65625,400
39,1731.5184726928803,88.75,400
40,1647.593444384268,85.015625,400
41,1703.5284857144504,88.375,400
42,1635.8083910435098,85.109375,400
43,1740.4488373664806,89.21875,400
44,1661.277319491406,85.546875,400
45,1632.1172374697023,83.984375,400
46,1743.4083359358744,89.921875,400
47,1739.1583351860093,89.78125,400
48,1796.034524052577,91.90625,400
49,1730.2500000000007,88.734375,400
50,1688.8921894064197,86.84375,400
51,1728.7098300562498,90.703125,400
52,1745.6943058495806,92.21875,400
53,1647.4,85.203125,400
54,1736.0913284488724,90.8125,400
55,1665.1453136438527,86.984375,400
56,1732.026894374384,89.75,400
57,1468.6291847198293,76.203125,400
58,1737.2653415615755,89.546875,400
59,1750.7430936742546,90.4375,400
60,1706.1773194914078,87.671875,400
61,1495.1715728752529,77.203125,400
62,1653.6475134127309,84.59375,400
63,1702.1754446796663,88.609375,400
64,1415.6500000000003,72.171875,400
65,1701.8584770132024,89.90625,400
66,1683.0379126518706,87.4375,400
67,1683.0381019791862,86.453125,400
68,1699.2447190954363,88.65625,400
69,1648.9509804864083,85.140625,400
70,1688.3235267810198,87.46875,400
71,1652.1153415615731,85.6875,400
72,1545.8639320225018,79.5,400
73,1664.3850179569304,85.203125,400
74,1459.8000000000022,79.75,400
75,1467.600490243203,74.96875,400
76,1482.4320281894124,76.390625,400
77,1415.768661749183,72.46875,400
78,1523.1499999999994,80.375,400
79,1399.8345240525775,73.0625,400
80,1695.368861169918,89.15625,400
81,1776.190227771352,92.3125,400
82,1749.2654807553095,91.0625,400
83,1681.8500000000026,86.15625,400
84,1742.3307975947985,89.1875,400
85,1593.43501795693,82.09375,400
86,1739.8598300562505,89.015625,400
87,1428.128932188134,75.359375,400
88,1596.800000000001,86.1875,400
89,1600.666965626342,83.03125,400
90,1792.445673976656,92.28125,400
91,1611.4849270936327,85.09375,400
92,1701.904638982814,89.546875,400
93,1763.3615371546562,91.109375,400
94,1784.9672374697034,91.4375,400
95,1732.7514707296139,89.078125,400
96,1261.0921134470707,65.234375,400
97,1535.4850179569298,79.578125,400
98,1692.5690481051554,88.65625,400
99,1526.5377223398323,78.0625,400
100,1714.9500000000016,87.90625,400
101,1688.1147186257622,86.34375,400
102,1638.7902277713551,86.25,400
103,1654.6178754017126,86.15625,400
104,1760.4835921350036,90.8125,400
105,1746.2458980337503,89.59375,400
106,1704.1254446796634,87.109375,400
107,1219.076894374384,62.03125000000001,400
108,1774.488642227228,91.53125,400
109,1754.879202710603,89.71875,400
110,1462.9778640449997,74.75,400
111,1724.4639320224994,89.046875,400
112,1761.3222527892995,90.34375,400
113,1648.5843902290612,84.640625,400
114,1691.1786796564409,86.25,400
115,1626.7188711258507,86.765625,400
116,1777.1861218113409,90.953125,400
117,1825.5521849295064,94.1875,400
118,1699.6307975947977,87.40625,400
119,1775.7504902432029,90.78125,400
120,1687.1476500446424,86.359375,400
121,1665.4353068170371,85.265625,400
122,1764.900000000001,91.578125,400
123,1726.974375810236,88.984375,400
124,1247.8472243622703,67.5625,400
125,444.9254446796648,22.890625,400
126,1657.0184583077303,86.140625,400
127,1738.9377422517055,88.984375,400
128,1690.2278640450015,86.609375,400
129,1739.7074175964337,90.640625,400
130,1748.135306817038,89.5,400
131,1705.8807975947975,89.359375,400
132,1727.6499999999999,89.234375,400
133,1773.4734546913303,91.3125,400
134,1662.008391043511,89.546875,400
135,1625.4902277713563,84.453125,400
136,1755.999999999999,89.609375,400
137,1793.2875078027507,92.546875,400
138,1806.0975134127275,93.3125,400
