step,reward_mean,cov_rew_mean,col_rew_mean,aux_rew_mean
24576,0.0025,342.7522,-8.0000,46.8789
49152,0.0056,350.1889,-8.0000,50.6804
73728,0.0033,351.1705,-8.0000,52.1659
98304,0.0028,360.0210,-8.0000,57.4868
122880,0.0047,359.9070,-8.0000,56.6573
147456,0.0021,368.8500,-8.0000,60.7386
172032,0.0011,372.5420,-8.0000,60.2048
196608,0.0024,365.2910,-8.0000,56.1574
221184,0.0030,360.4810,-8.0000,53.4420
245760,0.0045,361.5610,-8.0000,54.1479
270336,0.0023,364.0850,-8.0000,55.8731
294912,0.0037,365.5330,-8.0000,60.5364
319488,0.0030,364.1980,-8.0000,60.9414
344064,0.0037,365.7260,-8.0000,60.2752
368640,0.0040,373.6820,-8.0000,60.9634
393216,0.0036,374.5000,-8.0000,60.8690
417792,0.0034,367.2270,-8.0000,60.9061
442368,0.0038,358.0670,-8.0000,59.9160
466944,0.0030,361.2820,-8.0000,61.9545
491520,0.0024,358.0890,-8.0000,58.1036
516096,0.0036,362.7380,-8.0000,58.8560
540672,0.0026,370.0060,-8.0000,61.7684
565248,0.0023,366.4330,-8.0000,60.8004
589824,0.0020,366.0370,-8.0000,62.2665
614400,0.0038,364.8560,-8.0000,63.4889
638976,0.0051,367.3600,-8.0000,64.0448
663552,0.0023,369.0770,-8.0000,65.1055
688128,0.0039,378.5110,-7.9200,69.3640
712704,0.0026,378.9490,-7.9200,69.7672
737280,0.0046,372.5190,-7.9200,68.1865
761856,0.0041,378.2760,-7.9200,69.4620
786432,0.0075,372.1410,-8.0000,67.6571
811008,0.0030,368.3750,-8.0000,64.0345
835584,0.0016,376.7700,-8.0000,68.5978
860160,0.0055,364.9640,-8.0000,62.6405
884736,0.0088,378.4880,-8.0000,68.1200
909312,0.0020,371.8820,-8.0000,66.1755
933888,0.0040,365.5580,-8.0000,64.8473
958464,0.0118,381.2070,-8.0000,74.3620
983040,0.0027,373.7310,-8.0000,71.9455
1007616,0.0019,379.2880,-8.0000,73.2428
1032192,0.0026,388.0200,-7.8400,83.1636
1056768,0.0026,391.6190,-7.8400,85.0583
1081344,0.0084,386.3920,-7.6800,86.0332
1105920,0.0037,382.9540,-7.6800,87.3312
1130496,0.0043,375.9510,-7.8400,77.4943
1155072,0.0039,375.6360,-7.8400,77.5729
1179648,0.0013,375.9040,-7.9200,78.1231
1204224,0.0039,384.2740,-7.9200,84.3180
1228800,0.0059,391.2330,-7.9200,92.8603
1253376,0.0045,383.4880,-7.9200,85.2416
1277952,0.0019,377.3550,-8.0000,76.8406
1302528,0.0031,374.7810,-7.9200,72.7738
1327104,0.0056,367.5100,-7.9200,65.1724
1351680,0.0030,372.9610,-7.9200,66.2916
1376256,0.0017,375.3630,-8.0000,62.6843
1400832,0.0046,377.6930,-8.0000,67.3210
1425408,0.0030,371.0170,-8.0000,65.1070
1449984,0.0032,371.9840,-7.9200,69.2001
1474560,0.0026,378.3800,-7.9200,76.3305
1499136,0.0036,378.1530,-7.9200,76.1151
1523712,0.0047,386.9470,-7.9200,80.2323
1548288,0.0042,382.1170,-8.0000,76.0035
1572864,0.0040,378.1500,-8.0000,69.8700
1597440,0.0056,372.6580,-8.0000,70.5598
1622016,0.0055,378.0280,-8.0000,72.7327
1646592,0.0048,368.7070,-8.0000,68.2319
1671168,0.0032,375.0370,-8.0000,75.5740
1695744,0.0025,386.5990,-7.9200,82.6722
1720320,0.0023,383.2350,-7.9200,85.9766
1744896,0.0037,392.2950,-7.9200,90.4574
1769472,0.7001,386.5990,-7.9200,83.6181
1794048,0.0028,382.9430,-8.0000,77.9985
1818624,0.0011,382.8290,-7.9200,75.9546
1843200,0.0040,383.8230,-7.8400,78.8471
1867776,0.0033,381.6980,-7.8400,76.4039
1892352,0.0014,374.6080,-7.9200,69.9723
1916928,0.0037,379.5690,-7.9200,74.8260
1941504,0.0022,372.7840,-8.0000,70.8796
1966080,0.0045,372.9710,-8.0000,73.0469
1990656,0.0088,377.4690,-7.9200,80.0255
2015232,0.0020,375.1530,-7.9200,76.7407
2039808,0.0079,376.5600,-7.8400,76.5248
2064384,0.0056,369.8750,-7.9200,69.4183
2088960,0.0034,373.8070,-7.9200,73.2810
2113536,0.0024,372.3530,-7.9200,76.8184
2138112,0.0020,382.2570,-8.0000,80.3840
2162688,0.0026,383.9020,-8.0000,81.9921
2187264,0.0039,393.5990,-7.9200,81.4571
2211840,0.0041,401.0460,-7.9200,84.1406
2236416,0.0034,409.0710,-7.9200,88.1409
2260992,0.0028,394.6930,-7.9200,80.1863
2285568,0.0029,377.7120,-8.0000,75.0611
2310144,0.0043,381.3050,-8.0000,80.4853
2334720,0.0018,387.1080,-8.0000,81.2846
2359296,0.0051,394.6880,-7.9200,88.3642
2383872,0.0037,412.1810,-7.9200,95.3021
2408448,0.0038,414.0860,-7.9200,92.8504
2433024,0.0037,411.1490,-7.9200,93.5013
2457600,0.0024,404.7060,-7.9200,89.4062
2482176,0.0047,389.9200,-8.0000,83.6715
2506752,0.0028,383.1550,-8.0000,82.5358
2531328,0.0044,398.9410,-7.9200,90.1443
2555904,0.0044,385.1380,-7.9200,79.3881
2580480,0.0023,388.3760,-7.9200,76.8830
2605056,0.0022,394.3890,-7.8400,83.0216
2629632,0.0032,382.5340,-7.9200,76.6035
2654208,0.0024,394.4850,-7.8400,84.7639
2678784,0.0019,378.4730,-7.9200,77.6816
2703360,0.0044,383.7740,-7.9200,78.9332
2727936,0.0078,385.2070,-7.9200,80.0038
2752512,0.0025,395.1510,-8.0000,81.9715
2777088,0.0047,394.0590,-7.9200,83.3555
2801664,0.0042,420.5280,-7.9200,97.5047
2826240,0.0010,420.7120,-7.9200,97.3586
2850816,0.0025,405.2610,-7.9200,88.1821
2875392,0.0045,405.3250,-8.0000,86.5869
2899968,0.0028,388.0270,-8.0000,76.2444
2924544,0.0037,378.1840,-8.0000,72.3698
2949120,0.0064,374.6120,-8.0000,69.9693
2973696,0.0034,366.5990,-8.0000,63.0876
2998272,0.0036,371.8070,-8.0000,67.8138
3022848,0.0031,384.3270,-8.0000,71.8319
3047424,0.0021,381.5540,-8.0000,70.8212
3072000,0.0036,383.0360,-8.0000,72.6138
3096576,0.0028,394.2210,-8.0000,79.1441
3121152,0.0027,398.1180,-8.0000,86.1780
3145728,0.0033,396.7990,-8.0000,87.8354
3170304,0.0019,401.6570,-7.9200,93.2893
3194880,0.0020,407.0560,-7.9200,96.1350
3219456,0.0009,397.3570,-7.9200,90.6378
3244032,0.0030,405.5440,-7.8400,91.6029
3268608,0.0041,394.5970,-7.8400,87.7053
3293184,0.0069,391.6810,-7.9200,85.2693
3317760,0.0031,394.5740,-7.9200,86.9868
3342336,0.0039,398.9340,-8.0000,88.1409
3366912,0.0027,394.0170,-8.0000,83.6187
3391488,0.0046,378.8680,-8.0000,75.7376
3416064,0.0072,362.9990,-8.0000,64.5988
3440640,0.0034,367.5840,-8.0000,66.2033
3465216,0.0105,380.3290,-8.0000,73.6268
3489792,0.0027,389.7890,-8.0000,78.5086
3514368,0.0037,396.9420,-8.0000,86.3113
3538944,0.0042,396.8260,-8.0000,85.2891
3563520,0.0031,394.7970,-8.0000,84.5723
3588096,0.0015,386.0760,-8.0000,76.5673
3612672,0.0035,383.3070,-8.0000,73.4946
3637248,0.0048,378.7370,-8.0000,71.7201
3661824,0.0020,383.5320,-8.0000,72.0236
3686400,0.0036,389.7410,-8.0000,78.2512
3710976,0.0035,390.0160,-8.0000,80.6373
3735552,0.0040,391.2890,-8.0000,84.1988
3760128,0.0037,388.1610,-8.0000,78.7374
3784704,0.0038,381.0980,-8.0000,75.4291
3809280,0.0093,377.6920,-8.0000,68.2680
3833856,0.0035,375.2190,-8.0000,70.4212
3858432,0.0034,379.3040,-8.0000,74.8875
3883008,0.0021,393.4520,-8.0000,81.9778
3907584,0.0034,395.1030,-8.0000,83.5081
3932160,0.0030,402.6200,-8.0000,85.8376
3956736,0.0022,395.5980,-8.0000,77.3900
3981312,0.0022,389.3190,-8.0000,73.7333
4005888,0.0020,389.5190,-8.0000,79.4991
4030464,0.0041,389.4550,-7.9200,82.0632
4055040,0.0013,384.1730,-7.9200,79.3762
4079616,0.0050,382.0400,-7.9200,74.9885
4104192,0.0063,380.7360,-7.9200,69.9477
4128768,-0.0216,377.1580,-8.0000,70.2509
4153344,0.0020,381.9910,-8.0000,75.7968
4177920,0.0024,384.9250,-7.9200,79.7784
4202496,0.0024,387.4150,-7.8400,85.8500
4227072,0.0037,387.1030,-7.8400,81.3547
4251648,0.0038,393.5600,-7.8400,83.8531
4276224,0.0053,396.2970,-7.8400,84.4502
4300800,0.0026,393.2930,-8.0000,77.8431
4325376,0.0043,384.7080,-8.0000,73.6548
4349952,0.0056,398.1960,-7.9200,82.2944
4374528,0.0017,384.8810,-7.9200,75.4852
4399104,0.0034,405.7870,-7.9200,86.1263
4423680,0.0032,415.0700,-7.9200,91.6444
4448256,0.0042,409.5670,-8.0000,88.2041
4472832,0.0057,413.8290,-8.0000,87.7384
