step,reward_mean,cov_rew_mean,col_rew_mean,aux_rew_mean
24576,0.0231,47.4000,-8.0000,51.0519
49152,0.0197,45.0566,-8.0000,49.2480
73728,0.0211,51.1519,-8.0000,55.4966
98304,0.0207,53.4000,-8.0000,58.2732
122880,0.0927,51.7050,-8.0000,56.7536
147456,0.0243,52.5750,-8.0000,58.5004
172032,0.0094,46.3050,-8.0000,52.6783
196608,0.0231,43.3650,-8.0000,50.0907
221184,-0.2722,45.2850,-8.0000,52.1534
245760,0.0890,50.0100,-8.0000,57.9283
270336,0.0925,54.3750,-8.0000,62.7273
294912,0.0261,55.4850,-8.0000,65.1453
319488,0.0215,53.8800,-8.0000,64.8490
344064,0.0809,48.5700,-8.0000,59.1393
368640,0.0211,53.3700,-8.0000,63.9712
393216,0.0195,52.8900,-8.0000,62.5748
417792,0.0186,53.9700,-8.0000,64.4123
442368,0.0206,50.3550,-8.0000,61.0821
466944,0.0164,52.0200,-8.0000,63.1373
491520,0.0731,50.6700,-8.0000,61.7138
516096,0.0120,48.5850,-8.0000,59.5095
540672,0.0212,47.4450,-8.0000,58.8035
565248,0.0240,51.7050,-8.0000,63.0413
589824,0.0177,52.3500,-8.0000,63.6195
614400,0.0236,47.2050,-8.0000,57.4532
638976,0.0196,48.6300,-8.0000,58.8431
663552,0.0233,45.4050,-8.0000,55.4226
688128,0.0155,43.4100,-8.0000,53.4602
712704,0.0227,46.3050,-8.0000,57.1262
737280,0.0192,50.8350,-8.0000,62.5949
761856,0.0225,52.4250,-8.0000,64.3384
786432,0.0211,53.5200,-8.0000,64.4113
811008,0.0761,57.1800,-8.0000,68.1460
835584,0.0212,56.0250,-8.0000,66.5896
860160,0.0184,59.2350,-8.0000,70.2731
884736,0.0226,54.7200,-8.0000,65.1313
909312,0.0225,57.1800,-8.0000,67.1772
933888,0.0767,59.1750,-8.0000,69.5478
958464,0.0718,59.7750,-8.0000,69.0904
983040,0.0179,73.2150,-7.9200,84.3523
1007616,0.0197,70.5150,-7.9200,81.4032
1032192,0.0127,63.4350,-7.9200,73.1147
1056768,0.0222,52.8750,-8.0000,61.6818
1081344,0.0184,60.7500,-8.0000,69.8263
1105920,0.0221,66.8850,-8.0000,76.5768
1130496,0.0772,75.9900,-8.0000,87.2010
1155072,0.0743,75.1800,-8.0000,86.0229
1179648,0.0156,77.7600,-8.0000,88.5175
1204224,0.0220,85.1550,-8.0000,96.0996
1228800,0.0765,79.6950,-8.0000,89.4891
1253376,0.0206,79.8000,-8.0000,89.0418
1277952,0.0146,83.5800,-8.0000,93.0012
1302528,0.0219,73.6800,-8.0000,82.4607
1327104,0.0762,72.4950,-8.0000,81.3992
1351680,0.0212,78.6150,-8.0000,88.2527
1376256,0.1309,84.7800,-8.0000,95.3913
1400832,0.0219,96.9150,-7.9200,108.2744
1425408,0.0182,105.1050,-7.9200,116.7347
1449984,0.0204,105.9900,-7.9200,117.8876
1474560,0.0215,108.8850,-7.9200,120.8212
1499136,0.0202,101.8650,-7.9200,113.2808
1523712,0.0175,90.5100,-8.0000,101.2771
1548288,0.0167,93.6900,-7.9200,104.7445
1572864,0.0195,100.6200,-7.9200,111.5714
1597440,0.0153,104.2350,-7.9200,115.3953
1622016,0.0194,110.3250,-7.7600,122.1243
1646592,0.0766,106.1850,-7.6800,116.9848
1671168,0.1313,116.2050,-7.6000,127.2577
1695744,0.0730,120.5250,-7.6000,131.8581
1720320,0.0170,122.1750,-7.5200,134.6389
1744896,0.0207,135.3450,-7.3600,149.5968
1769472,0.0209,133.3200,-7.4400,147.5975
1794048,0.1316,121.3200,-7.6000,135.0269
1818624,0.0219,108.6900,-7.6000,121.1916
1843200,0.0210,96.4650,-7.7600,108.0021
1867776,0.0194,90.0750,-7.9200,100.4544
1892352,0.0219,88.1700,-7.9200,98.0967
1916928,0.0219,85.8000,-8.0000,95.7345
1941504,0.0724,88.6050,-8.0000,98.8269
1966080,0.0213,92.7900,-8.0000,102.6033
1990656,0.0766,94.4250,-8.0000,104.2778
2015232,0.0202,93.1350,-8.0000,103.3605
2039808,0.0197,97.8000,-8.0000,108.7511
2064384,0.0189,108.0600,-8.0000,118.4194
2088960,0.0200,104.8050,-7.9200,114.8118
2113536,0.0198,93.4350,-7.9200,103.3824
2138112,0.0182,96.4500,-7.9200,106.4300
2162688,0.0175,106.5600,-7.9200,116.5586
2187264,0.0192,107.4600,-7.9200,117.0944
2211840,0.0767,118.2150,-7.8400,127.5606
2236416,0.0191,119.4450,-7.8400,128.8051
2260992,0.1290,131.7000,-7.8400,140.7784
2285568,0.1315,136.0950,-7.8400,145.2119
2310144,0.0183,143.0850,-7.8400,151.5403
2334720,0.0219,138.0000,-7.8400,146.8052
2359296,0.0202,132.9600,-7.9200,142.1534
2383872,0.0209,134.9550,-7.9200,144.3928
2408448,0.0191,131.8350,-7.8400,141.6900
2433024,0.0208,131.5650,-7.8400,141.8320
2457600,0.0208,129.2250,-7.8400,140.1197
2482176,0.0766,127.8300,-7.7600,138.7272
2506752,0.0769,134.8950,-7.6800,145.8121
2531328,0.0742,130.4550,-7.6800,141.5204
2555904,0.0220,123.1650,-7.7600,133.9638
2580480,0.1320,128.0850,-7.6800,138.8933
2605056,0.0771,131.5500,-7.6800,142.2384
2629632,0.0184,134.9700,-7.6800,145.9886
2654208,0.0769,125.7000,-7.7600,136.1133
2678784,0.0209,122.4150,-7.8400,132.4907
2703360,0.0190,131.1600,-7.8400,141.6613
2727936,0.0177,132.0000,-7.8400,142.0215
2752512,0.0179,123.2850,-7.9200,133.1515
2777088,0.0768,110.5650,-8.0000,119.8189
2801664,0.0220,124.1100,-7.8400,133.9958
2826240,0.0772,119.8350,-7.8400,129.7127
2850816,0.0760,100.2000,-7.7600,109.5595
2875392,0.0221,103.7100,-7.6800,113.0142
2899968,0.0693,117.6300,-7.6800,127.4575
2924544,0.0756,114.6750,-7.8400,124.5266
2949120,0.0221,115.6800,-7.8400,125.2529
2973696,0.0221,118.5900,-7.8400,127.9445
2998272,0.0207,124.7250,-7.6800,133.8615
3022848,0.0199,115.5900,-7.6800,124.8235
3047424,0.0729,113.1750,-7.6800,121.9583
3072000,0.0179,118.9500,-7.6000,127.9778
3096576,0.0221,128.4150,-7.6000,137.8714
3121152,0.0221,122.3850,-7.6000,131.6136
3145728,0.0222,129.5850,-7.6800,140.0011
3170304,0.0751,128.7750,-7.7600,139.4849
3194880,0.1330,127.9500,-7.7600,138.5537
3219456,0.1293,120.7650,-7.8400,131.5406
3244032,0.0213,122.4150,-7.8400,133.3290
3268608,0.0222,130.8300,-7.7600,141.9722
3293184,0.0172,136.6050,-7.6800,148.1671
3317760,0.1289,134.5650,-7.6800,145.5094
3342336,0.0718,140.6100,-7.6800,151.5573
3366912,0.0223,150.6750,-7.6000,162.1225
3391488,0.0199,158.5650,-7.4400,170.1200
3416064,0.0193,170.0100,-7.3600,181.5981
3440640,0.0753,158.2650,-7.4400,169.3873
3465216,0.0186,172.2150,-7.2800,183.7784
3489792,0.0745,162.8700,-7.3600,173.1124
3514368,0.0215,167.6850,-7.3600,177.8788
3538944,0.0192,142.2150,-7.4400,151.2524
3563520,0.0192,129.3600,-7.6800,138.0944
3588096,0.0209,127.2150,-7.5200,135.7788
3612672,0.0217,121.2900,-7.6000,130.3866
3637248,0.0224,127.6800,-7.6000,137.0138
3661824,0.0755,129.9900,-7.5200,139.3173
3686400,0.0203,123.3750,-7.6000,132.3967
3710976,0.0784,131.6400,-7.6000,141.1110
3735552,0.1345,139.8450,-7.5200,149.8569
3760128,0.1345,142.3800,-7.4400,153.0136
3784704,0.0207,147.5100,-7.4400,158.0026
3809280,0.0766,141.7950,-7.5200,151.9217
3833856,0.0767,140.1000,-7.5200,150.3171
3858432,0.0762,155.4600,-7.4400,165.3028
3883008,0.0754,151.9800,-7.4400,161.6289
3907584,0.1349,142.0500,-7.6000,150.7494
3932160,0.0221,139.6800,-7.6800,147.8537
3956736,0.0225,132.7500,-7.6000,140.7721
3981312,0.0188,135.4200,-7.6800,143.4402
4005888,0.0213,132.8850,-7.7600,141.2240
4030464,0.0788,131.5350,-7.7600,140.4310
4055040,0.0188,139.1700,-7.7600,149.0735
4079616,0.0789,142.8750,-7.7600,152.7725
4104192,0.0208,145.9500,-7.8400,156.3407
4128768,0.0226,145.5600,-7.8400,156.0747
4153344,0.0188,138.1950,-7.6800,148.7295
4177920,0.0203,149.0700,-7.5200,160.8878
4202496,0.0217,143.5200,-7.6000,154.5338
4227072,0.1329,153.9900,-7.3600,165.5949
4251648,0.0191,155.1600,-7.3600,166.6445
4276224,0.0207,161.0250,-7.2000,172.8737
4300800,0.0226,161.2350,-7.1200,173.0357
4325376,0.0175,179.3850,-7.0400,191.7957
4349952,0.0219,185.1300,-7.1200,197.8454
4374528,0.0174,189.0000,-7.2800,202.0240
4399104,0.0794,180.0150,-7.3600,192.2104
4423680,0.0227,170.0850,-7.4400,181.7263
4448256,0.0218,164.8350,-7.5200,175.8624
4472832,0.0227,166.1850,-7.6000,177.1551
4497408,0.0226,158.9250,-7.7600,169.4418
4521984,0.0220,149.3400,-7.6800,159.5262
4546560,0.0227,144.3000,-7.6800,154.0465
4571136,0.0796,137.1600,-7.6800,146.6334
4595712,0.0773,145.7250,-7.6000,155.9073
4620288,0.0228,128.7450,-7.5200,138.6457
4644864,0.0190,132.8250,-7.3600,142.9235
4669440,0.0797,135.7650,-7.2000,146.2155
